Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9385964912280702,0.9545454545454546,0.9402985074626866,0.9473684210526316
Random Forest (Reduced),0.956140350877193,0.9696969696969697,0.9552238805970149,0.9624060150375939
SVM,0.9385964912280702,0.9545454545454546,0.9402985074626866,0.9473684210526316
SVM (Reduced),0.956140350877193,0.9696969696969697,0.9552238805970149,0.9624060150375939
KNN,0.9385964912280702,0.9545454545454546,0.9402985074626866,0.9473684210526316
KNN (Reduced),0.956140350877193,0.9696969696969697,0.9552238805970149,0.9624060150375939
